,C4H10_3200K_1/,C4H10_3200K_2/,C4H10_3300K_1/,C4H10_3300K_2/,C4H10_3400K_1/,C4H10_3400K_2/,C4H10_3500K_1/,C4H10_3500K_2/,C4H10_3600K_1/,C4H10_3600K_2/,C4H10_4000K_1/,C4H10_4000K_2/,C4H10_4500K_1/,C4H10_4500K_2/,C4H10_5000K_1/,C4H10_5000K_2/,C2H6_3300K_1/,C2H6_3300K_2/,C2H6_4000K_1/,C2H6_4000K_2/,CH4_3600K/,CH4_3600K_2/,C8H18_3300K/,C8H18_3300K_2/,mix_3500K_1/,mix_3500K_2/,CH4_4500K_1/,CH4_4500K_2/,C4H10_3600K_1120at_1/,C4H10_3600K_1120at_2/,C2H6_4000K_1280at_1/,C2H6_4000K_1280at_2/,C8H18_4000K_1040at_1/,C8H18_4000K_1040at_2/
Degree 0,1.5754762582973656,1.5480609251884185,1.5718629313151977,1.5513871111541817,1.5371272179143785,1.6476316772373358,1.548845170901628,1.5936212789798763,1.6147773736103452,1.570231994846379,1.5801991943308353,1.5251628766557381,1.5181588883764126,1.4846540423283672,1.4834206674000647,1.429157235842018,1.8236290415967467,1.8269614715651405,1.8095240098131222,1.8434644251291192,2.0039551644989455,1.9478755466392796,1.4826088320240327,1.420771745908748,1.880543358046145,1.8543770360930465,1.826288939835743,1.7514197178607844,1.7107634425334775,1.6638563518254699,1.86757355973559,1.939725977659997,1.53060504019875,1.5178187728520176
Degree 1,1.998961353347965,1.9696948597392936,1.9580128896124387,1.9754901770789692,1.9609048264980398,1.90986678614003,2.001647503799003,1.9890712454296708,1.9502159077879258,1.9749747823911097,1.9502468650614069,2.0018566253654067,1.9551958184425366,2.0045802490593796,1.962502098872344,1.958877911270044,2.0653860498451575,2.0494877956387354,1.9871477404901445,1.995283684942993,1.6984549414161512,1.7716082134049662,1.9632559508104364,1.9319648936509142,1.9871414297366605,1.9920067770536698,1.8127338498544618,1.8474072465629836,2.0485767507010997,2.0614380099748697,2.1412038827752866,2.0919002023108733,1.988887869667159,2.007979086344453
Degree 2,1.8676284313948406,1.9642001549690271,1.974376432311302,1.9417214244864176,1.9487876577522394,1.9440676369139833,1.8857352607619078,1.8766433276502488,1.8992474406070987,1.9002359447139479,1.9417842480574965,1.9159191023842108,1.9699179777125073,1.9316737296710675,1.9937984960272097,2.008297712995493,1.651000449322452,1.7330132739552873,1.85221662541951,1.794807491682142,0.8759969865650175,1.067913466817139,2.00310754991816,2.04757423837119,1.721815328161031,1.7568261259710267,1.3994304261845159,1.462633030316768,2.0213433987934044,2.03938597451056,1.9297038590042193,1.9071603510713033,2.0885439054283848,2.068475274149923
Degree 3,1.5637977440690671,1.4910474437598327,1.426255999612387,1.4970641863970853,1.5596234856926088,1.5828885974297786,1.5537056940990188,1.5920749569971648,1.5954989707462321,1.5944460389468926,1.5672656197393122,1.5309805979889206,1.559191950331048,1.5432961276592998,1.516532388245319,1.5126913925107959,1.284530461228997,1.1550943820277575,1.2006684119744107,1.2399190261257478,0.2109710294916571,-0.28907169928316917,1.7514115396105725,1.7641370272735692,1.11767710635196,1.040873435725981,0.445998725370656,0.6071712247512364,1.6406913839714665,1.6268297825315623,1.3229186206004893,1.4005559308182638,1.7504538401959047,1.7630267431907538
Degree 4,0.9002291820733003,0.5657816979131026,0.7971899536111204,0.8211742288950719,0.7004092195964589,0.6154962831542432,0.8293939122694138,0.6258644386079708,0.7555858030013031,0.6797147057380764,0.5132184926937279,0.6411418288711463,0.5140999859102771,0.6057957637375215,0.3773298533251384,0.5668969983932824,0.4527135383376941,0.2949199159904984,0.1429886635430607,0.20733444531218378,-inf,-inf,0.8998592209736346,0.7704909395198468,0.06083550452667297,0.3421951385837369,-0.933433607741319,-0.839002938361303,0.8381982641606371,0.7432502785484032,0.24714098852804933,0.5416822121012912,0.9224709802558397,0.9434608221478579
