,C4H10_3200K_1/,C4H10_3200K_2/,C4H10_3300K_1/,C4H10_3300K_2/,C4H10_3400K_1/,C4H10_3400K_2/,C4H10_3500K_1/,C4H10_3500K_2/,C4H10_3600K_1/,C4H10_3600K_2/,C4H10_4000K_1/,C4H10_4000K_2/,C4H10_4500K_1/,C4H10_4500K_2/,C4H10_5000K_1/,C4H10_5000K_2/,C2H6_3300K_1/,C2H6_3300K_2/,C2H6_4000K_1/,C2H6_4000K_2/,CH4_3600K/,CH4_3600K_2/,C8H18_3300K/,C8H18_3300K_2/,mix_3500K_1/,mix_3500K_2/,CH4_4500K_1/,CH4_4500K_2/,C4H10_3600K_1120at_1/,C4H10_3600K_1120at_2/,C2H6_4000K_1280at_1/,C2H6_4000K_1280at_2/,C8H18_4000K_1040at_1/,C8H18_4000K_1040at_2/
Degree 0,0.013845765989468758,0.014253746169335148,0.01279532781784031,0.020640746627357688,0.027112178990682915,0.03563921261283547,0.025995027947143867,0.026123827235109184,0.034998438106623356,0.026624457005308046,0.03741962108243222,0.07612294302361546,0.053287168379264525,0.053869866176841606,0.06936367697624975,0.03974631223551459,0.00902086364702474,0.008128691742022472,0.017655703423246457,0.026754980798463758,0.010646575265217798,0.007515237191585226,0.023030239018852143,0.021326247626942338,0.007052841279214923,0.01160973943141636,0.03260961076838838,0.027569456668751942,0.019655487303227314,0.030620629352164492,0.03279076655829536,0.024837364861900583,0.031932446121932856,0.06818313289252355
Degree 1,0.008666543992312117,0.009888502172448754,0.01404140411175084,0.0203548400001161,0.023999663338935363,0.03567786216650693,0.018483747753295716,0.020843980265962486,0.021863259223129875,0.02162678785681592,0.02624127734166651,0.016478208288830603,0.026597153609360494,0.029533240505823927,0.03281027364058752,0.02510150909911689,0.009970215220229662,0.006798283792126692,0.022126915794975256,0.02928675174572457,0.029150496602269548,0.016933710818448286,0.024069590509994854,0.02162410811579065,0.01034718945470122,0.011927861370510849,0.029527665820139437,0.032553728575494344,0.01658671599017713,0.03159463651956633,0.0215808423225966,0.017713761747705142,0.02909784602591887,0.025083099159044137
Degree 2,0.019235689730579677,0.013451869871035032,0.015873610174119944,0.018966017983291537,0.03184649409135936,0.01960840134166273,0.027986696837292987,0.0279135881172786,0.023884524605751148,0.024031729936624478,0.029664314238329274,0.03561208639663697,0.02697464573798405,0.028660354794999673,0.031120199712627233,0.026098945954511444,0.021631140656070195,0.023208604238382228,0.03325718941851966,0.0364413721743617,0.09311396829324621,0.06477958416222131,0.02449468938821111,0.020758605895219967,0.02715225455724097,0.02248701521079379,0.055511298942569974,0.06439393300350653,0.02711709724002358,0.03356958171146618,0.04527483891987686,0.032864123471941314,0.0293328545972623,0.019511317563542546
Degree 3,0.03863598645840442,0.03311745854704401,0.06211590135693327,0.02947944342024545,0.057909705223237705,0.04286728560310737,0.04003684507386397,0.0315667922592813,0.03866109831483509,0.0551632099710417,0.05262168944612993,0.05475811573985239,0.050624987083133365,0.04333401478707104,0.05345792311959759,0.04892425578270363,0.03582053038727446,0.061151488795714325,0.07679906664840862,0.07066984434360873,0.20833351163593639,0.5455349302889059,0.02830102838140832,0.023686182323849166,0.09079749286225715,0.12310078543303325,0.2227763540046409,0.2582133511177992,0.05585104650367928,0.04510119334796967,0.09030413737593483,0.06660649453841613,0.04955506972106146,0.04590840830232614
Degree 4,0.05363145250636952,0.24063844701928944,0.12802607715928993,0.08236914706236054,0.16344953019917866,0.20556468175554032,0.1457520062917659,0.14368772918973952,0.2397455775717859,0.13813102715727996,0.21550082252643935,0.14283901325638357,0.2032177947461916,0.17845548337379624,0.24703710834102832,0.22895567229759103,0.11698012852468327,0.20633566305607576,0.3257535405113936,0.2985777257609198,,,0.09483529322658718,0.1262134875400243,0.2360242780057985,0.27821892660749825,1.2347157352943603,1.1373200620521935,0.1564579308731965,0.154946242936513,0.2818113608797366,0.2204333301804678,0.1316533579789319,0.13033405289593514
